,count,word
3843,7.0,acrux
233,7.0,mike
820,7.0,van
3804,7.0,alphard
1155,7.0,heavy
44,7.0,emine
333,7.0,dostoyevsky
5049,7.0,octavia
3882,7.0,sheratan
740,7.0,opportunity
4415,7.0,exact
2366,7.0,returned
3724,7.0,form
5050,7.0,butler
592,7.0,daily
3880,7.0,zubenshamali
939,7.0,apart
1196,7.0,sade
3704,7.0,barnett
928,7.0,vega
137,7.0,above
3690,7.0,kmq
3881,7.0,unukalhai
1070,7.0,concern
263,7.0,surprise
3942,6.0,file
2921,6.0,growing
2922,6.0,medication
4803,6.0,degree
1550,6.0,brown
2269,6.0,couch
4281,6.0,afford
579,6.0,apply
3877,6.0,zosma
2437,6.0,nigerian
823,6.0,river
2618,6.0,particularly
4242,6.0,concentrate
824,6.0,cheap
4000,6.0,record
2167,6.0,discuss
4432,6.0,faster
3408,6.0,bird
1398,6.0,locations
3181,6.0,alarm
3327,6.0,hi
1523,6.0,cookie
181,6.0,others
636,6.0,building
1360,6.0,biography
1930,6.0,pray
1933,6.0,cutting
4860,6.0,correct
2822,6.0,accomplished
1364,6.0,campus
3150,6.0,pepper
2507,6.0,literary
1529,6.0,cute
1528,6.0,factor
1487,6.0,mainly
3552,6.0,ton
2927,6.0,waste
1375,6.0,trek
1576,6.0,tinashe
1952,6.0,motivation
2505,6.0,connected
3289,6.0,sun
2770,6.0,dentist
547,6.0,flower
3485,6.0,avior
106,6.0,rap
3488,6.0,electronics
1624,6.0,guessing
1623,6.0,realize
1441,6.0,taught
1468,6.0,stayed
1619,6.0,legal
280,6.0,pursue
2140,6.0,charge
1870,6.0,mountain
859,6.0,gotten
1565,6.0,dates
991,6.0,necessarily
340,6.0,students
639,6.0,laundry
574,6.0,buildings
863,6.0,apparently
3951,6.0,owe
3214,6.0,reads
2307,6.0,boxes
2656,6.0,presented
849,6.0,learning
3854,6.0,dubhe
1901,6.0,mirphak
156,6.0,worse
4461,6.0,adds
2778,6.0,title
1016,6.0,method
883,6.0,frequently
551,6.0,helpful
3512,6.0,metoprolol
1880,6.0,entering
1640,6.0,adopt
3200,6.0,meant
604,6.0,desk
2550,6.0,became
869,6.0,draw
3966,6.0,records
4439,6.0,variety
2823,6.0,finishing
3367,6.0,email
4400,6.0,greenhouse
22,6.0,pharmacy
1292,6.0,alnilam
5566,6.0,birth
1837,6.0,towers
2054,6.0,social
2053,6.0,following
2377,6.0,special
1174,6.0,ann
743,6.0,semester
1242,6.0,fun
4767,6.0,itself
3662,6.0,meghan
2595,6.0,choice
4619,6.0,procedure
471,6.0,pound
2375,6.0,activities
5116,6.0,rice
2947,6.0,collection
2990,6.0,linkedin
4127,6.0,improve
2409,6.0,post
1229,6.0,tall
1156,6.0,lifestyle
1753,6.0,son
429,6.0,limited
4069,6.0,er
2402,6.0,cheese
1757,6.0,andrew
3070,6.0,risk
1826,6.0,cars
2201,6.0,amp
1131,6.0,etamin
4419,6.0,safe
421,6.0,wearing
2672,6.0,knowing
2107,6.0,sera
442,6.0,bellatrix
1251,6.0,entered
444,6.0,studio
28,6.0,version
5093,6.0,dangerously
2991,6.0,subscription
2387,6.0,depending
4025,6.0,achieve
1348,6.0,support
5124,6.0,packs
496,6.0,coat
3691,6.0,transition
3129,6.0,capella
3567,6.0,asleep
4426,6.0,management
2094,6.0,printer
1338,6.0,summarize
1708,6.0,perspective
731,6.0,reached
3009,6.0,clip
1346,6.0,fan
497,6.0,smell
1693,6.0,path
498,6.0,taste
3560,6.0,amazon
796,6.0,zoot
1795,6.0,additional
2115,6.0,cause
3685,6.0,subway
1351,6.0,topics
2035,6.0,meantime
1188,6.0,strange
383,6.0,older
3137,6.0,rexroat
5636,6.0,fictitious
715,6.0,successful
2093,6.0,plants
4031,6.0,deep
1588,5.0,honey
3057,5.0,stephen
691,5.0,stores
1790,5.0,dating
1758,5.0,charles
2203,5.0,supplies
1900,5.0,final
2968,5.0,lower
4533,5.0,cac
4847,5.0,adobe
693,5.0,woodward
748,5.0,college
2870,5.0,adjust
3020,5.0,eyed
3265,5.0,agreements
1545,5.0,option
2858,5.0,wonderful
5316,5.0,motrin
1551,5.0,tweet
1598,5.0,frequent
705,5.0,blocks
899,5.0,yellow
1562,5.0,uses
2265,5.0,repetition
1799,5.0,debra
3277,5.0,pull
