,count,word
4653,9.0,raft
1284,9.0,canopus
870,9.0,government
3595,9.0,issues
3035,9.0,lindsay
88,9.0,concentrate
2838,9.0,keeps
2858,9.0,bird
1895,9.0,comfort
2875,9.0,treatment
628,9.0,activities
1921,9.0,sirius
2078,9.0,driver
1208,9.0,fairly
2080,9.0,appeared
2857,9.0,studying
2081,9.0,job
2066,9.0,bell
5770,9.0,lawn
4785,8.0,gravy
3629,8.0,continuation
1001,8.0,thinks
5038,8.0,tells
4871,8.0,stretching
5185,8.0,valuable
4682,8.0,heart
5531,8.0,turkey
5174,8.0,cover
6214,8.0,recipes
421,8.0,coke
5279,8.0,asparagus
2945,8.0,duwane
4880,8.0,alarm
2779,8.0,politics
449,8.0,tend
3029,8.0,arrange
1111,8.0,suggestion
2063,8.0,within
4547,8.0,loved
3568,8.0,break
2234,8.0,drug
749,8.0,growing
4536,8.0,personality
5643,8.0,celery
4776,8.0,sheets
5641,8.0,garlic
6043,8.0,caffeine
4300,8.0,pink
1246,8.0,size
3651,8.0,weekend
1168,8.0,hoping
1441,8.0,latest
4315,8.0,title
2951,8.0,expand
2299,8.0,changed
2423,8.0,added
22,8.0,expected
5941,8.0,busch
2715,8.0,dan
2021,8.0,example
12,8.0,mizar
4667,8.0,copies
2401,8.0,mine
2341,8.0,starts
3168,8.0,emotional
1594,8.0,rain
4535,8.0,songs
605,8.0,further
700,8.0,mirror
3148,8.0,uses
1580,8.0,frequently
1994,8.0,hiding
3946,8.0,cory
1573,8.0,n
2012,8.0,dostoyevsky
2628,8.0,wander
3157,8.0,requires
2028,8.0,pound
3139,8.0,fine
3700,8.0,map
3698,8.0,grade
3187,8.0,rare
83,8.0,speak
4421,8.0,devoted
724,8.0,east
311,8.0,ankaa
5270,8.0,waffles
1970,8.0,country
1637,8.0,narrative
1633,8.0,non
2855,8.0,quiet
4330,8.0,visible
1627,8.0,combination
41,8.0,several
2642,8.0,editing
2323,8.0,potatoes
4998,8.0,olives
6585,8.0,linkedin
5394,8.0,breathing
1020,8.0,videos
1021,8.0,respect
3916,8.0,require
1297,8.0,anyone
3608,8.0,position
2548,8.0,path
1924,8.0,niece
1147,8.0,lorinda
3673,8.0,halfway
522,8.0,additional
2525,8.0,team
530,8.0,shoot
2165,8.0,listen
2559,8.0,powerful
936,8.0,series
1799,8.0,stephen
6088,8.0,recipe
3961,8.0,kitchen
3872,8.0,nights
6022,8.0,message
3011,8.0,checking
773,8.0,hearing
3561,8.0,legs
181,8.0,stick
1285,8.0,texted
788,8.0,emergency
5897,8.0,coronavirus
1136,8.0,full
1839,8.0,function
2517,8.0,hang
921,8.0,consideration
2083,8.0,castor
174,8.0,health
4768,8.0,bathroom
3925,8.0,lines
538,8.0,door
2487,8.0,reach
3013,8.0,friendly
3871,8.0,handle
474,8.0,crazy
4936,8.0,bedroom
3416,8.0,manager
4276,8.0,football
893,8.0,bet
3710,8.0,voice
956,8.0,analysis
3771,8.0,north
7028,8.0,corned
1398,8.0,festival
1385,8.0,conditions
3352,8.0,typically
2787,8.0,weight
2108,8.0,purchased
1928,8.0,bright
2889,8.0,barnes
1402,8.0,directly
3612,8.0,summarize
2474,8.0,sitting
882,7.0,substitute
1056,7.0,grand
1026,7.0,stuff
1570,7.0,habits
